target_id,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
lcl|NC_003911.12_cds_WP_044029162.1_1574,0.000304522,0.000339641,13.04237586,13.58885871,1,6.097835691,1.045296824,0.008541454,1.03675537,0.21500118,1.03675537
lcl|NC_003911.12_cds_WP_144084080.1_3536,0.000305226,0.000340341,13.03804805,3.833406004,1,6.301887654,0.294877385,0.004859995,0.29001739,0.171596929,0.29001739
lcl|NC_003911.12_cds_WP_230981740.1_2591,0.000306441,0.000341609,13.03060696,1.006571839,1,6.672296344,0.077428603,0.001625264,0.075803339,0.111629024,0.111629024
lcl|NC_003911.12_cds_WP_044027929.1_861,0.000306552,0.000341647,13.0299271,1.716169463,1,7.042036643,0.132013036,0.001152855,0.13086018,0.103790478,0.13086018
lcl|NC_003911.12_cds_WP_011047103.1_1390,0.000307172,0.000342251,13.02614625,0.193694748,1,6.767195112,0.014899596,0.001685869,0.013213727,0.105580077,0.105580077
lcl|NC_006569.1_cds_WP_011242055.1_4237,0.000310808,0.000346215,13.00410766,4.154801196,1,6.136598276,0.319600092,0.0048917,0.314708392,0.207352234,0.314708392
lcl|NC_003911.12_cds_WP_158454154.1_489,0.000311514,0.000346913,12.99986296,0.245307177,1,6.981191379,0.018869783,0.001316379,0.017553403,0.10122772,0.10122772
lcl|NC_003911.12_cds_WP_044028087.1_1474,0.000311691,0.000347023,12.99879817,10.89667916,1,6.575774117,0.838206089,0.003810974,0.834395116,0.124058049,0.834395116
lcl|NC_003911.12_cds_WP_011047558.1_1866,0.000311927,0.000347197,12.99738347,12.17358453,1,6.173349316,0.936429579,0.007777229,0.92865235,0.200266948,0.92865235
lcl|NC_003911.12_cds_WP_044029111.1_1310,0.000312951,0.00034825,12.99124427,12.69032312,1,5.422827863,0.976178702,0.015812119,0.960366583,0.354968943,0.960366583
lcl|NC_003911.12_cds_WP_011048881.1_3239,0.000313441,0.000348707,12.98831446,4.783976195,1,6.77309422,0.367998169,0.002655866,0.365342303,0.105275209,0.365342303
lcl|NC_003911.12_cds_WP_158454185.1_3184,0.000317833,0.000353504,12.96225955,0.400019106,1,6.311345471,0.0307707,0.00277016,0.028000541,0.169478556,0.169478556
