"","geneNames","feature","id","fc","pval","qval","mean"
"253","SPO2217.t01","gene","MSTRG.1734",1.54711776355806,0.0207964082446555,0.101531801665733,99.3834227857143
"254","SPO2218.t01","gene","MSTRG.1735",1.35212014935941,0.037637632169933,0.132214516310807,146.169606357143
"255","SPO2219.t01","gene","MSTRG.1736",0.627205553797617,0.0148345898976476,0.0858372584402295,73.7784597857143
"256","SPO2220.t01","gene","MSTRG.1737",0.696308509610529,0.000264155263427379,0.0250192770931932,85.7762728571429
"257","SPO0247.t01","gene","MSTRG.174",1.20166337763572,0.0448723528119235,0.144642077947292,200.542944857143
"258","SPO2223.t01","gene","MSTRG.1740",1.34090061323032,0.0238521663801574,0.107871666507806,177.249882142857
"259","SPO2228.t01","gene","MSTRG.1745",1.24839333555315,0.046341513583231,0.146446251218695,105.419858561997
"260","SPO0248.t01","gene","MSTRG.175",1.45688426809505,0.0274789922799115,0.115590058785426,131.943463357143
"261","SPO2238.t01","gene","MSTRG.1751",0.646592793480764,0.023186972163137,0.106756684334443,80.2395344285714
"262","SPO2248.t01","gene","MSTRG.1760",0.634471120595759,0.037925177757728,0.132478360660557,67.7389157142857
"263","SPO2250.t01","gene","MSTRG.1762",0.490609995863303,0.000618485855419015,0.0295564219409884,89.9153153122286
"264","SPO2255.t01","gene","MSTRG.1763",0.317269337227422,0.00455958535162726,0.0503894404841686,74.75288115492
"265","SPO2257.t01","gene","MSTRG.1764",0.311304511035567,0.0026900157896832,0.0441455561524743,92.9674645
"266","SPO2258.t01","gene","MSTRG.1765",0.340157379076064,0.00581045984175921,0.055669579119745,73.8996679051996
"267","SPO2263.t01","gene","MSTRG.1768",0.503567835571332,0.0306689984712167,0.120918303382648,85.7804922142857
"268","SPO2266.t01","gene","MSTRG.1769",0.175402381060973,0.0119135933809009,0.0782050733815575,70.0326672142857
"269","SPO2276.t01","gene","MSTRG.1778",1.45026860509801,0.0105727185552627,0.0736314327955792,156.584122214286
"270","SPO2285.t01","gene","MSTRG.1787",0.593787431990818,0.0459385230115366,0.146118683382644,781.516427285714
"271","SPO2287.t01","gene","MSTRG.1789",0.489256244935634,0.0393614418095478,0.134758545291612,1327.65344014286
"272","SPO0253.t01","gene","MSTRG.179",1.81988632562588,0.00219947208772631,0.0414275566523449,131.537288857143
"273","SPO2292.t01","gene","MSTRG.1794",1.48966815160844,0.035033714743764,0.127958634325651,102.140878357143
"274","SPO2294.t01","gene","MSTRG.1796",2.18752138823152,0.00513190384485118,0.0522753255591937,125.581756
"275","SPO2302.t01","gene","MSTRG.1804",0.563706671503559,0.0426887845467161,0.139835297205893,660.222274642857
